record_id,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
1,1-8,Small house set,1970,Minitalia,,Vintage,Normal,67.0,,,,https://brickset.com/sets/1-8,https://images.brickset.com/sets/small/1-8.jpg,https://images.brickset.com/sets/images/1-8.jpg
2,2-8,Medium house set,1970,Minitalia,,Vintage,Normal,109.0,,,,https://brickset.com/sets/2-8,https://images.brickset.com/sets/small/2-8.jpg,https://images.brickset.com/sets/images/2-8.jpg
3,3-6,Medium house set,1970,Minitalia,,Vintage,Normal,158.0,,,,https://brickset.com/sets/3-6,https://images.brickset.com/sets/small/3-6.jpg,https://images.brickset.com/sets/images/3-6.jpg
4,4-4,Large house set,1970,Minitalia,,Vintage,Normal,233.0,,,,https://brickset.com/sets/4-4,https://images.brickset.com/sets/small/4-4.jpg,https://images.brickset.com/sets/images/4-4.jpg
5,4-6,Mini House and Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,,,,,https://brickset.com/sets/4-6,,
6,078-1,Roadway Base Plate 50X50,1970,Samsonite,Supplemental,Vintage,Normal,1.0,,,,https://brickset.com/sets/078-1,https://images.brickset.com/sets/small/078-1.jpg,https://images.brickset.com/sets/images/078-1.jpg
7,104-1,4.5V Replacement Motor,1970,Trains,Supplemental / 4.5V,Modern day,Normal,1.0,,,,https://brickset.com/sets/104-1,https://images.brickset.com/sets/small/104-1.jpg,https://images.brickset.com/sets/images/104-1.jpg
8,126-1,Steam Locomotive (Push),1970,Trains,4.5v,Modern day,Normal,60.0,,,,https://brickset.com/sets/126-1,https://images.brickset.com/sets/small/126-1.jpg,https://images.brickset.com/sets/images/126-1.jpg
9,157-3,4 Car Auto Transport,1970,Samsonite,Model Maker,Vintage,Normal,65.0,,,,https://brickset.com/sets/157-3,https://images.brickset.com/sets/small/157-3.jpg,https://images.brickset.com/sets/images/157-3.jpg
10,242-4,Big Model Book,1970,Books,LEGO,Miscellaneous,Book,,,,,https://brickset.com/sets/242-4,https://images.brickset.com/sets/small/242-4.jpg,https://images.brickset.com/sets/images/242-4.jpg
11,271-3,Mini-House with Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,89.0,,,,https://brickset.com/sets/271-3,https://images.brickset.com/sets/small/271-3.jpg,https://images.brickset.com/sets/images/271-3.jpg
